time (s), 25.00000, time (s), 100.000000
5.500000000000000000e+01,6.294548716770502317e+00,5.500000000000000000e+01,1.969854871677050312e+01
5.600000000000000000e+01,6.294548716770502317e+00,5.600000000000000000e+01,1.989854871677050241e+01
5.700000000000000000e+01,6.294548716770502317e+00,5.700000000000000000e+01,2.019854871677050312e+01
5.800000000000000000e+01,6.394548716770502850e+00,5.800000000000000000e+01,2.039854871677050241e+01
5.900000000000000000e+01,6.394548716770502850e+00,5.900000000000000000e+01,2.059854871677050525e+01
6.000000000000000000e+01,6.594548716770503027e+00,6.000000000000000000e+01,2.079854871677050454e+01
6.100000000000000000e+01,6.694548716770502672e+00,6.100000000000000000e+01,2.109854871677050525e+01
6.200000000000000000e+01,6.694548716770502672e+00,6.200000000000000000e+01,2.089854871677050241e+01
6.300000000000000000e+01,6.794548716770502317e+00,6.300000000000000000e+01,2.119854871677050312e+01
6.400000000000000000e+01,6.994548716770502494e+00,6.400000000000000000e+01,2.139854871677050241e+01
6.500000000000000000e+01,6.994548716770502494e+00,6.500000000000000000e+01,2.159854871677050525e+01
6.600000000000000000e+01,6.994548716770502494e+00,6.600000000000000000e+01,2.169854871677050312e+01
6.700000000000000000e+01,7.194548716770502672e+00,6.700000000000000000e+01,2.189854871677050241e+01
6.800000000000000000e+01,7.394548716770502850e+00,6.800000000000000000e+01,2.209854871677050525e+01
6.900000000000000000e+01,7.494548716770502494e+00,6.900000000000000000e+01,2.219854871677050312e+01
7.000000000000000000e+01,7.594548716770503027e+00,7.000000000000000000e+01,2.239854871677050241e+01
7.100000000000000000e+01,7.694548716770502672e+00,7.100000000000000000e+01,2.239854871677050241e+01
7.200000000000000000e+01,7.794548716770502317e+00,7.200000000000000000e+01,2.229854871677050454e+01
7.300000000000000000e+01,7.794548716770502317e+00,7.300000000000000000e+01,2.259854871677050525e+01
7.400000000000000000e+01,7.894548716770501962e+00,7.400000000000000000e+01,2.259854871677050525e+01
7.500000000000000000e+01,7.894548716770501962e+00,7.500000000000000000e+01,2.289854871677050241e+01
