time (s), 25.000000,time (s), 100.000000
5.000000000000000000e+00,3.600011520323972425e-01,5.000000000000000000e+00,2.801001152032397190e+00
6.000000000000000000e+00,5.600011520323971981e-01,6.000000000000000000e+00,3.301001152032396746e+00
7.000000000000000000e+00,6.600011520323972869e-01,7.000000000000000000e+00,3.701001152032397101e+00
8.000000000000000000e+00,5.600011520323971981e-01,8.000000000000000000e+00,4.201001152032397101e+00
9.000000000000000000e+00,7.600011520323971537e-01,9.000000000000000000e+00,4.601001152032397457e+00
1.000000000000000000e+01,8.600011520323972425e-01,1.000000000000000000e+01,5.301001152032396746e+00
1.100000000000000000e+01,8.600011520323972425e-01,1.100000000000000000e+01,5.901001152032397279e+00
1.200000000000000000e+01,7.600011520323971537e-01,1.200000000000000000e+01,6.401001152032397279e+00
1.300000000000000000e+01,1.160001152032397176e+00,1.300000000000000000e+01,6.801001152032396746e+00
1.400000000000000000e+01,1.160001152032397176e+00,1.400000000000000000e+01,7.301001152032396746e+00
1.500000000000000000e+01,1.360001152032396909e+00,1.500000000000000000e+01,7.601001152032397457e+00
1.600000000000000000e+01,1.660001152032397176e+00,1.600000000000000000e+01,8.301001152032396746e+00
1.700000000000000000e+01,1.760001152032397265e+00,1.700000000000000000e+01,8.801001152032396746e+00
1.800000000000000000e+01,1.960001152032396998e+00,1.800000000000000000e+01,9.001001152032397812e+00
1.900000000000000000e+01,2.160001152032397176e+00,1.900000000000000000e+01,9.501001152032397812e+00
2.000000000000000000e+01,2.360001152032396909e+00,2.000000000000000000e+01,1.000100115203239781e+01
2.100000000000000000e+01,2.360001152032396909e+00,2.100000000000000000e+01,1.030100115203239675e+01
2.200000000000000000e+01,2.560001152032397087e+00,2.200000000000000000e+01,1.100100115203239781e+01
2.300000000000000000e+01,2.760001152032397265e+00,2.300000000000000000e+01,1.120100115203239710e+01
2.400000000000000000e+01,2.960001152032396998e+00,2.400000000000000000e+01,1.150100115203239781e+01
2.500000000000000000e+01,2.960001152032396998e+00,2.500000000000000000e+01,1.170100115203239710e+01
2.600000000000000000e+01,3.260001152032397265e+00,2.600000000000000000e+01,1.210100115203239746e+01
2.700000000000000000e+01,3.260001152032397265e+00,2.700000000000000000e+01,1.240100115203239639e+01
2.800000000000000000e+01,3.260001152032397265e+00,2.800000000000000000e+01,1.290100115203239639e+01
2.900000000000000000e+01,3.460001152032397442e+00,2.900000000000000000e+01,1.330100115203239675e+01
3.000000000000000000e+01,3.560001152032397087e+00,3.000000000000000000e+01,1.360100115203239746e+01
3.100000000000000000e+01,3.760001152032397265e+00,3.100000000000000000e+01,1.380100115203239675e+01
3.200000000000000000e+01,3.960001152032397442e+00,3.200000000000000000e+01,1.420100115203239710e+01
3.300000000000000000e+01,3.860001152032396909e+00,3.300000000000000000e+01,1.440100115203239639e+01
3.400000000000000000e+01,3.960001152032397442e+00,3.400000000000000000e+01,1.460100115203239746e+01
3.500000000000000000e+01,3.960001152032397442e+00,3.500000000000000000e+01,1.500100115203239781e+01
3.600000000000000000e+01,4.160001152032396732e+00,3.600000000000000000e+01,1.520100115203239710e+01
3.700000000000000000e+01,4.360001152032396909e+00,3.700000000000000000e+01,1.560100115203239568e+01
3.800000000000000000e+01,4.460001152032397442e+00,3.800000000000000000e+01,1.570100115203239710e+01
3.900000000000000000e+01,4.460001152032397442e+00,3.900000000000000000e+01,1.610100115203239568e+01
4.000000000000000000e+01,4.560001152032397087e+00,4.000000000000000000e+01,1.620100115203239710e+01
4.100000000000000000e+01,4.660001152032396732e+00,4.100000000000000000e+01,1.660100115203239568e+01
4.200000000000000000e+01,4.860001152032396909e+00,4.200000000000000000e+01,1.690100115203239639e+01
4.300000000000000000e+01,4.960001152032397442e+00,4.300000000000000000e+01,1.730100115203239852e+01
4.400000000000000000e+01,4.960001152032397442e+00,4.400000000000000000e+01,1.750100115203239781e+01
4.500000000000000000e+01,5.160001152032396732e+00,4.500000000000000000e+01,1.780100115203239852e+01
4.600000000000000000e+01,5.160001152032396732e+00,4.600000000000000000e+01,1.800100115203239781e+01
4.700000000000000000e+01,5.360001152032396909e+00,4.700000000000000000e+01,1.820100115203239710e+01
4.800000000000000000e+01,5.360001152032396909e+00,4.800000000000000000e+01,1.840100115203239639e+01
4.900000000000000000e+01,5.360001152032396909e+00,4.900000000000000000e+01,1.850100115203239781e+01
5.000000000000000000e+01,5.560001152032397087e+00,5.000000000000000000e+01,1.890100115203239639e+01
5.100000000000000000e+01,5.560001152032397087e+00,5.100000000000000000e+01,1.900100115203239781e+01
5.200000000000000000e+01,5.760001152032397265e+00,5.200000000000000000e+01,1.920100115203239710e+01
5.300000000000000000e+01,5.660001152032396732e+00,5.300000000000000000e+01,1.960100115203239568e+01
5.400000000000000000e+01,5.660001152032396732e+00,5.400000000000000000e+01,1.990100115203239639e+01
5.500000000000000000e+01,5.860001152032396909e+00,5.500000000000000000e+01,2.000100115203239781e+01
