time (s), 25.000000,time (s), 100.000000
5.000000000000000000e+00,6.044198235573046141e-01,5.000000000000000000e+00,3.207419823557304817e+00
6.000000000000000000e+00,7.044198235573044808e-01,6.000000000000000000e+00,3.707419823557304817e+00
7.000000000000000000e+00,8.044198235573045697e-01,7.000000000000000000e+00,4.107419823557305172e+00
8.000000000000000000e+00,1.004419823557304303e+00,8.000000000000000000e+00,4.607419823557305172e+00
9.000000000000000000e+00,1.104419823557304392e+00,9.000000000000000000e+00,4.907419823557304994e+00
1.000000000000000000e+01,1.304419823557304570e+00,1.000000000000000000e+01,5.507419823557304639e+00
1.100000000000000000e+01,1.104419823557304392e+00,1.100000000000000000e+01,6.207419823557304817e+00
1.200000000000000000e+01,1.304419823557304570e+00,1.200000000000000000e+01,6.507419823557304639e+00
1.300000000000000000e+01,1.504419823557304303e+00,1.300000000000000000e+01,6.807419823557305349e+00
1.400000000000000000e+01,1.604419823557304392e+00,1.400000000000000000e+01,7.507419823557304639e+00
1.500000000000000000e+01,1.704419823557304481e+00,1.500000000000000000e+01,7.807419823557305349e+00
1.600000000000000000e+01,1.604419823557304392e+00,1.600000000000000000e+01,8.207419823557303928e+00
1.700000000000000000e+01,1.904419823557304658e+00,1.700000000000000000e+01,8.707419823557303928e+00
1.800000000000000000e+01,2.004419823557304525e+00,1.800000000000000000e+01,9.107419823557304284e+00
1.900000000000000000e+01,2.204419823557304703e+00,1.900000000000000000e+01,9.507419823557304639e+00
2.000000000000000000e+01,2.204419823557304703e+00,2.000000000000000000e+01,9.907419823557304994e+00
2.100000000000000000e+01,2.404419823557304881e+00,2.100000000000000000e+01,1.030741982355730535e+01
2.200000000000000000e+01,2.504419823557304525e+00,2.200000000000000000e+01,1.060741982355730428e+01
2.300000000000000000e+01,2.604419823557304170e+00,2.300000000000000000e+01,1.110741982355730428e+01
2.400000000000000000e+01,2.804419823557304348e+00,2.400000000000000000e+01,1.150741982355730464e+01
2.500000000000000000e+01,3.004419823557304525e+00,2.500000000000000000e+01,1.180741982355730535e+01
2.600000000000000000e+01,2.904419823557304881e+00,2.600000000000000000e+01,1.220741982355730393e+01
2.700000000000000000e+01,3.204419823557304703e+00,2.700000000000000000e+01,1.260741982355730428e+01
2.800000000000000000e+01,3.104419823557305058e+00,2.800000000000000000e+01,1.290741982355730499e+01
2.900000000000000000e+01,3.204419823557304703e+00,2.900000000000000000e+01,1.320741982355730393e+01
3.000000000000000000e+01,3.304419823557304348e+00,3.000000000000000000e+01,1.350741982355730464e+01
3.100000000000000000e+01,3.204419823557304703e+00,3.100000000000000000e+01,1.380741982355730535e+01
3.200000000000000000e+01,3.504419823557304525e+00,3.200000000000000000e+01,1.400741982355730464e+01
3.300000000000000000e+01,3.704419823557304703e+00,3.300000000000000000e+01,1.430741982355730535e+01
3.400000000000000000e+01,3.804419823557304348e+00,3.400000000000000000e+01,1.460741982355730428e+01
3.500000000000000000e+01,3.804419823557304348e+00,3.500000000000000000e+01,1.480741982355730357e+01
3.600000000000000000e+01,4.004419823557304525e+00,3.600000000000000000e+01,1.520741982355730570e+01
3.700000000000000000e+01,4.004419823557304525e+00,3.700000000000000000e+01,1.530741982355730357e+01
3.800000000000000000e+01,4.004419823557304525e+00,3.800000000000000000e+01,1.570741982355730570e+01
3.900000000000000000e+01,4.304419823557304348e+00,3.900000000000000000e+01,1.590741982355730499e+01
4.000000000000000000e+01,4.404419823557304881e+00,4.000000000000000000e+01,1.610741982355730428e+01
4.100000000000000000e+01,4.404419823557304881e+00,4.100000000000000000e+01,1.640741982355730499e+01
4.200000000000000000e+01,4.704419823557304703e+00,4.200000000000000000e+01,1.670741982355730570e+01
4.300000000000000000e+01,4.604419823557305058e+00,4.300000000000000000e+01,1.690741982355730499e+01
4.400000000000000000e+01,4.904419823557304881e+00,4.400000000000000000e+01,1.710741982355730428e+01
4.500000000000000000e+01,5.004419823557304525e+00,4.500000000000000000e+01,1.770741982355730570e+01
4.600000000000000000e+01,4.904419823557304881e+00,4.600000000000000000e+01,1.790741982355730499e+01
4.700000000000000000e+01,5.004419823557304525e+00,4.700000000000000000e+01,1.820741982355730570e+01
4.800000000000000000e+01,5.104419823557305058e+00,4.800000000000000000e+01,1.830741982355730357e+01
4.900000000000000000e+01,5.204419823557304703e+00,4.900000000000000000e+01,1.860741982355730428e+01
5.000000000000000000e+01,5.204419823557304703e+00,5.000000000000000000e+01,1.880741982355730357e+01
5.100000000000000000e+01,5.404419823557304881e+00,5.100000000000000000e+01,1.890741982355730499e+01
