time (s), 1.250000,time (s), 2.500000,time (s), 5.000000
2.300000000000000000e+01,4.150999999999999801e+00,2.300000000000000000e+01,9.368999999999999773e+00,2.300000000000000000e+01,1.268999999999999950e+01
2.400000000000000000e+01,4.450999999999999623e+00,2.400000000000000000e+01,9.868999999999999773e+00,2.400000000000000000e+01,1.339000000000000057e+01
2.500000000000000000e+01,4.850999999999999979e+00,2.500000000000000000e+01,1.026900000000000013e+01,2.500000000000000000e+01,1.399000000000000021e+01
2.600000000000000000e+01,5.150999999999999801e+00,2.600000000000000000e+01,1.066900000000000048e+01,2.600000000000000000e+01,1.458999999999999986e+01
2.700000000000000000e+01,5.251000000000000334e+00,2.700000000000000000e+01,1.076900000000000013e+01,2.700000000000000000e+01,1.478999999999999915e+01
2.800000000000000000e+01,5.551000000000000156e+00,2.800000000000000000e+01,1.106900000000000084e+01,2.800000000000000000e+01,1.518999999999999950e+01
2.900000000000000000e+01,5.551000000000000156e+00,2.900000000000000000e+01,1.116900000000000048e+01,2.900000000000000000e+01,1.549000000000000021e+01
3.000000000000000000e+01,5.450999999999999623e+00,3.000000000000000000e+01,1.116900000000000048e+01,3.000000000000000000e+01,1.558999999999999986e+01
3.100000000000000000e+01,5.751000000000000334e+00,3.100000000000000000e+01,1.146899999999999942e+01,3.100000000000000000e+01,1.599000000000000021e+01
3.200000000000000000e+01,5.950999999999999623e+00,3.200000000000000000e+01,1.166900000000000048e+01,3.200000000000000000e+01,1.639000000000000057e+01
3.300000000000000000e+01,6.150999999999999801e+00,3.300000000000000000e+01,1.176900000000000013e+01,3.300000000000000000e+01,1.669000000000000128e+01
3.400000000000000000e+01,6.251000000000000334e+00,3.400000000000000000e+01,1.216900000000000048e+01,3.400000000000000000e+01,1.708999999999999986e+01
3.500000000000000000e+01,6.350999999999999979e+00,3.500000000000000000e+01,1.206900000000000084e+01,3.500000000000000000e+01,1.739000000000000057e+01
3.600000000000000000e+01,6.450999999999999623e+00,3.600000000000000000e+01,1.236899999999999977e+01,3.600000000000000000e+01,1.758999999999999986e+01
3.700000000000000000e+01,6.650999999999999801e+00,3.700000000000000000e+01,1.256900000000000084e+01,3.700000000000000000e+01,1.789000000000000057e+01
3.800000000000000000e+01,6.751000000000000334e+00,3.800000000000000000e+01,1.266900000000000048e+01,3.800000000000000000e+01,1.808999999999999986e+01
3.900000000000000000e+01,6.850999999999999979e+00,3.900000000000000000e+01,1.296899999999999942e+01,3.900000000000000000e+01,1.839000000000000057e+01
4.000000000000000000e+01,7.051000000000000156e+00,4.000000000000000000e+01,1.296899999999999942e+01,4.000000000000000000e+01,1.878999999999999915e+01
4.100000000000000000e+01,7.251000000000000334e+00,4.100000000000000000e+01,1.336899999999999977e+01,4.100000000000000000e+01,1.908999999999999986e+01
4.200000000000000000e+01,7.251000000000000334e+00,4.200000000000000000e+01,1.336899999999999977e+01,4.200000000000000000e+01,1.928999999999999915e+01
4.300000000000000000e+01,7.450999999999999623e+00,4.300000000000000000e+01,1.356900000000000084e+01,4.300000000000000000e+01,1.958999999999999986e+01
4.400000000000000000e+01,7.551000000000000156e+00,4.400000000000000000e+01,1.356900000000000084e+01,4.400000000000000000e+01,1.969000000000000128e+01
4.500000000000000000e+01,7.450999999999999623e+00,4.500000000000000000e+01,1.366900000000000048e+01,4.500000000000000000e+01,1.989000000000000057e+01
4.600000000000000000e+01,7.751000000000000334e+00,4.600000000000000000e+01,1.396899999999999942e+01,4.600000000000000000e+01,2.019000000000000128e+01
4.700000000000000000e+01,7.850999999999999979e+00,4.700000000000000000e+01,1.406900000000000084e+01,4.700000000000000000e+01,2.058999999999999986e+01
4.800000000000000000e+01,8.051000000000000156e+00,4.800000000000000000e+01,1.426900000000000013e+01,4.800000000000000000e+01,2.069000000000000128e+01
4.900000000000000000e+01,8.051000000000000156e+00,4.900000000000000000e+01,1.436899999999999977e+01,4.900000000000000000e+01,2.089000000000000057e+01
5.000000000000000000e+01,8.150999999999999801e+00,5.000000000000000000e+01,1.456900000000000084e+01,5.000000000000000000e+01,2.108999999999999986e+01
5.100000000000000000e+01,8.250999999999999446e+00,5.100000000000000000e+01,1.486899999999999977e+01,5.100000000000000000e+01,2.139000000000000057e+01
5.200000000000000000e+01,8.351000000000000867e+00,5.200000000000000000e+01,1.486899999999999977e+01,5.200000000000000000e+01,2.148999999999999844e+01
