time (s), 9.375000,time (s), 18.750000,time (s), 37.500000,time (s), 75.000000,time (s), 150.000000,time (s), 300.000000
8.700000000000000000e+01,5.331276373264570267e+00,8.700000000000000000e+01,8.709276373264570381e+00,8.700000000000000000e+01,1.450727637326457042e+01,8.700000000000000000e+01,2.335627637326457062e+01,8.700000000000000000e+01,3.547227637326457028e+01,8.700000000000000000e+01,4.854427637326457301e+01
8.800000000000000000e+01,5.331276373264570267e+00,8.800000000000000000e+01,8.709276373264570381e+00,8.800000000000000000e+01,1.470727637326457149e+01,8.800000000000000000e+01,2.355627637326456991e+01,8.800000000000000000e+01,3.557227637326457170e+01,8.800000000000000000e+01,4.854427637326457301e+01
8.900000000000000000e+01,5.431276373264569912e+00,8.900000000000000000e+01,8.809276373264570026e+00,8.900000000000000000e+01,1.470727637326457149e+01,8.900000000000000000e+01,2.365627637326456778e+01,8.900000000000000000e+01,3.587227637326457597e+01,8.900000000000000000e+01,4.884427637326457017e+01
9.000000000000000000e+01,5.431276373264569912e+00,9.000000000000000000e+01,8.909276373264569671e+00,9.000000000000000000e+01,1.480727637326457113e+01,9.000000000000000000e+01,2.385627637326457062e+01,9.000000000000000000e+01,3.617227637326457312e+01,9.000000000000000000e+01,4.914427637326457443e+01
9.100000000000000000e+01,5.531276373264569557e+00,9.100000000000000000e+01,9.009276373264571092e+00,9.100000000000000000e+01,1.500727637326457042e+01,9.100000000000000000e+01,2.405627637326456991e+01,9.100000000000000000e+01,3.637227637326457597e+01,9.100000000000000000e+01,4.934427637326457017e+01
9.200000000000000000e+01,5.631276373264570978e+00,9.200000000000000000e+01,9.109276373264570736e+00,9.200000000000000000e+01,1.510727637326457007e+01,9.200000000000000000e+01,2.415627637326456778e+01,9.200000000000000000e+01,3.667227637326457312e+01,9.200000000000000000e+01,4.954427637326457301e+01
9.300000000000000000e+01,5.531276373264569557e+00,9.300000000000000000e+01,9.009276373264571092e+00,9.300000000000000000e+01,1.510727637326457007e+01,9.300000000000000000e+01,2.425627637326456920e+01,9.300000000000000000e+01,3.697227637326457028e+01,9.300000000000000000e+01,4.984427637326457017e+01
9.400000000000000000e+01,5.531276373264569557e+00,9.400000000000000000e+01,9.109276373264570736e+00,9.400000000000000000e+01,1.540727637326457078e+01,9.400000000000000000e+01,2.455627637326456991e+01,9.400000000000000000e+01,3.707227637326457170e+01,9.400000000000000000e+01,5.004427637326457301e+01
9.500000000000000000e+01,5.531276373264569557e+00,9.500000000000000000e+01,9.109276373264570736e+00,9.500000000000000000e+01,1.560727637326457007e+01,9.500000000000000000e+01,2.475627637326456920e+01,9.500000000000000000e+01,3.737227637326457597e+01,9.500000000000000000e+01,5.014427637326457443e+01
9.600000000000000000e+01,5.731276373264570623e+00,9.600000000000000000e+01,9.309276373264570026e+00,9.600000000000000000e+01,1.560727637326457007e+01,9.600000000000000000e+01,2.485627637326457062e+01,9.600000000000000000e+01,3.737227637326457597e+01,9.600000000000000000e+01,5.034427637326457017e+01
9.700000000000000000e+01,5.831276373264570267e+00,9.700000000000000000e+01,9.509276373264571092e+00,9.700000000000000000e+01,1.580727637326457113e+01,9.700000000000000000e+01,2.515627637326456778e+01,9.700000000000000000e+01,3.757227637326457170e+01,9.700000000000000000e+01,5.044427637326457159e+01
9.800000000000000000e+01,5.831276373264570267e+00,9.800000000000000000e+01,9.509276373264571092e+00,9.800000000000000000e+01,1.580727637326457113e+01,9.800000000000000000e+01,2.525627637326456920e+01,9.800000000000000000e+01,3.767227637326457312e+01,9.800000000000000000e+01,5.064427637326457443e+01
9.900000000000000000e+01,5.931276373264569912e+00,9.900000000000000000e+01,9.709276373264570381e+00,9.900000000000000000e+01,1.590727637326457078e+01,9.900000000000000000e+01,2.545627637326456849e+01,9.900000000000000000e+01,3.797227637326457028e+01,9.900000000000000000e+01,5.074427637326457585e+01
1.000000000000000000e+02,5.931276373264569912e+00,1.000000000000000000e+02,9.809276373264570026e+00,1.000000000000000000e+02,1.610727637326456829e+01,1.000000000000000000e+02,2.565627637326456778e+01,1.000000000000000000e+02,3.807227637326457170e+01,1.000000000000000000e+02,5.084427637326457017e+01
