time (s), 9.375000,time (s), 18.750000,time (s), 37.500000,time (s), 75.000000,time (s), 150.000000,time (s), 300.000000
1.500000000000000000e+01,4.889064510854875256e-01,1.500000000000000000e+01,3.060906451085487756e+00,1.500000000000000000e+01,3.513906451085487603e+00,1.500000000000000000e+01,1.026990645108548605e+01,1.500000000000000000e+01,1.675890645108548682e+01,1.500000000000000000e+01,3.123890645108548725e+01
1.600000000000000000e+01,6.889064510854874257e-01,1.600000000000000000e+01,3.160906451085487401e+00,1.600000000000000000e+01,3.813906451085487426e+00,1.600000000000000000e+01,1.066990645108548641e+01,1.600000000000000000e+01,1.765890645108548895e+01,1.600000000000000000e+01,3.253890645108548796e+01
1.700000000000000000e+01,6.889064510854874257e-01,1.700000000000000000e+01,3.260906451085487490e+00,1.700000000000000000e+01,4.013906451085487603e+00,1.700000000000000000e+01,1.116990645108548641e+01,1.700000000000000000e+01,1.855890645108548753e+01,1.700000000000000000e+01,3.393890645108548654e+01
1.800000000000000000e+01,6.889064510854874257e-01,1.800000000000000000e+01,3.360906451085487578e+00,1.800000000000000000e+01,4.413906451085487959e+00,1.800000000000000000e+01,1.176990645108548605e+01,1.800000000000000000e+01,1.945890645108548966e+01,1.800000000000000000e+01,3.513890645108548227e+01
1.900000000000000000e+01,7.889064510854875145e-01,1.900000000000000000e+01,3.360906451085487578e+00,1.900000000000000000e+01,4.513906451085487603e+00,1.900000000000000000e+01,1.206990645108548676e+01,1.900000000000000000e+01,2.035890645108548824e+01,1.900000000000000000e+01,3.643890645108548654e+01
2.000000000000000000e+01,8.889064510854876033e-01,2.000000000000000000e+01,3.760906451085487490e+00,2.000000000000000000e+01,4.813906451085487426e+00,2.000000000000000000e+01,1.246990645108548712e+01,2.000000000000000000e+01,2.105890645108548753e+01,2.000000000000000000e+01,3.763890645108548227e+01
2.100000000000000000e+01,8.889064510854876033e-01,2.100000000000000000e+01,3.660906451085487401e+00,2.100000000000000000e+01,5.013906451085487603e+00,2.100000000000000000e+01,1.286990645108548748e+01,2.100000000000000000e+01,2.185890645108548824e+01,2.100000000000000000e+01,3.873890645108548370e+01
2.200000000000000000e+01,1.288906451085487515e+00,2.200000000000000000e+01,3.860906451085487134e+00,2.200000000000000000e+01,5.213906451085487781e+00,2.200000000000000000e+01,1.336990645108548748e+01,2.200000000000000000e+01,2.275890645108548682e+01,2.200000000000000000e+01,3.993890645108548654e+01
2.300000000000000000e+01,1.288906451085487515e+00,2.300000000000000000e+01,4.160906451085487845e+00,2.300000000000000000e+01,5.613906451085487248e+00,2.300000000000000000e+01,1.376990645108548605e+01,2.300000000000000000e+01,2.335890645108548824e+01,2.300000000000000000e+01,4.083890645108548512e+01
2.400000000000000000e+01,1.288906451085487515e+00,2.400000000000000000e+01,4.060906451085487312e+00,2.400000000000000000e+01,5.913906451085487959e+00,2.400000000000000000e+01,1.436990645108548748e+01,2.400000000000000000e+01,2.405890645108548753e+01,2.400000000000000000e+01,4.173890645108548370e+01
