time (s), 1.250000,time (s), 2.500000,time (s), 5.000000
2.800000000000000000e+01,1.510000000000000009e+00,2.800000000000000000e+01,2.980999999999999872e+00,2.800000000000000000e+01,7.386999999999999567e+00
2.900000000000000000e+01,1.610000000000000098e+00,2.900000000000000000e+01,3.080999999999999961e+00,2.900000000000000000e+01,7.586999999999999744e+00
3.000000000000000000e+01,1.709999999999999964e+00,3.000000000000000000e+01,3.181000000000000050e+00,3.000000000000000000e+01,7.687000000000000277e+00
3.100000000000000000e+01,1.709999999999999964e+00,3.100000000000000000e+01,3.380999999999999783e+00,3.100000000000000000e+01,7.886999999999999567e+00
3.200000000000000000e+01,1.810000000000000053e+00,3.200000000000000000e+01,3.380999999999999783e+00,3.200000000000000000e+01,7.987000000000000099e+00
3.300000000000000000e+01,1.909999999999999920e+00,3.300000000000000000e+01,3.480999999999999872e+00,3.300000000000000000e+01,8.186999999999999389e+00
3.400000000000000000e+01,2.009999999999999787e+00,3.400000000000000000e+01,3.781000000000000139e+00,3.400000000000000000e+01,8.586999999999999744e+00
3.500000000000000000e+01,2.009999999999999787e+00,3.500000000000000000e+01,3.880999999999999783e+00,3.500000000000000000e+01,8.686999999999999389e+00
3.600000000000000000e+01,2.310000000000000053e+00,3.600000000000000000e+01,4.181000000000000050e+00,3.600000000000000000e+01,8.987000000000000099e+00
3.700000000000000000e+01,2.109999999999999876e+00,3.700000000000000000e+01,4.081000000000000405e+00,3.700000000000000000e+01,8.987000000000000099e+00
3.800000000000000000e+01,2.310000000000000053e+00,3.800000000000000000e+01,4.181000000000000050e+00,3.800000000000000000e+01,9.086999999999999744e+00
3.900000000000000000e+01,2.410000000000000142e+00,3.900000000000000000e+01,4.381000000000000227e+00,3.900000000000000000e+01,9.387000000000000455e+00
4.000000000000000000e+01,2.509999999999999787e+00,4.000000000000000000e+01,4.480999999999999872e+00,4.000000000000000000e+01,9.387000000000000455e+00
4.100000000000000000e+01,2.509999999999999787e+00,4.100000000000000000e+01,4.681000000000000050e+00,4.100000000000000000e+01,9.586999999999999744e+00
