time (s), 25.000000,time (s), 100.000000
4.900000000000000000e+01,6.166642047844409724e+00,4.900000000000000000e+01,2.058164204784441154e+01
5.000000000000000000e+01,5.966642047844409547e+00,5.000000000000000000e+01,2.068164204784441296e+01
5.100000000000000000e+01,6.066642047844410079e+00,5.100000000000000000e+01,2.088164204784441225e+01
5.200000000000000000e+01,6.066642047844410079e+00,5.200000000000000000e+01,2.098164204784441011e+01
5.300000000000000000e+01,6.266642047844410257e+00,5.300000000000000000e+01,2.118164204784441296e+01
5.400000000000000000e+01,6.466642047844409547e+00,5.400000000000000000e+01,2.158164204784441154e+01
5.500000000000000000e+01,6.566642047844410079e+00,5.500000000000000000e+01,2.158164204784441154e+01
5.600000000000000000e+01,6.366642047844409902e+00,5.600000000000000000e+01,2.178164204784441083e+01
5.700000000000000000e+01,6.666642047844409724e+00,5.700000000000000000e+01,2.208164204784441154e+01
5.800000000000000000e+01,6.666642047844409724e+00,5.800000000000000000e+01,2.218164204784441296e+01
5.900000000000000000e+01,6.866642047844409902e+00,5.900000000000000000e+01,2.228164204784441083e+01
6.000000000000000000e+01,6.766642047844410257e+00,6.000000000000000000e+01,2.258164204784441154e+01
6.100000000000000000e+01,6.866642047844409902e+00,6.100000000000000000e+01,2.268164204784441296e+01
6.200000000000000000e+01,6.966642047844409547e+00,6.200000000000000000e+01,2.278164204784441083e+01
6.300000000000000000e+01,6.966642047844409547e+00,6.300000000000000000e+01,2.288164204784441225e+01
6.400000000000000000e+01,7.166642047844409724e+00,6.400000000000000000e+01,2.308164204784441154e+01
6.500000000000000000e+01,7.266642047844410257e+00,6.500000000000000000e+01,2.328164204784441083e+01
6.600000000000000000e+01,7.466642047844409547e+00,6.600000000000000000e+01,2.348164204784441011e+01
6.700000000000000000e+01,7.366642047844409902e+00,6.700000000000000000e+01,2.358164204784441154e+01
6.800000000000000000e+01,7.466642047844409547e+00,6.800000000000000000e+01,2.388164204784441225e+01
6.900000000000000000e+01,7.666642047844410612e+00,6.900000000000000000e+01,2.388164204784441225e+01
7.000000000000000000e+01,7.766642047844410257e+00,7.000000000000000000e+01,2.418164204784441296e+01
7.100000000000000000e+01,7.866642047844409902e+00,7.100000000000000000e+01,2.438164204784441225e+01
7.200000000000000000e+01,7.766642047844410257e+00,7.200000000000000000e+01,2.448164204784441011e+01
7.300000000000000000e+01,7.766642047844410257e+00,7.300000000000000000e+01,2.478164204784441083e+01
7.400000000000000000e+01,7.866642047844409902e+00,7.400000000000000000e+01,2.488164204784441225e+01
7.500000000000000000e+01,8.066642047844409191e+00,7.500000000000000000e+01,2.508164204784441154e+01
7.600000000000000000e+01,8.066642047844409191e+00,7.600000000000000000e+01,2.518164204784441296e+01
7.700000000000000000e+01,8.166642047844410612e+00,7.700000000000000000e+01,2.528164204784441083e+01
7.800000000000000000e+01,8.366642047844409902e+00,7.800000000000000000e+01,2.548164204784441011e+01
7.900000000000000000e+01,8.366642047844409902e+00,7.900000000000000000e+01,2.568164204784441296e+01
8.000000000000000000e+01,8.466642047844409547e+00,8.000000000000000000e+01,2.568164204784441296e+01
8.100000000000000000e+01,8.566642047844409191e+00,8.100000000000000000e+01,2.588164204784441225e+01
8.200000000000000000e+01,8.666642047844410612e+00,8.200000000000000000e+01,2.598164204784441011e+01
8.300000000000000000e+01,8.666642047844410612e+00,8.300000000000000000e+01,2.608164204784441154e+01
8.400000000000000000e+01,8.966642047844409547e+00,8.400000000000000000e+01,2.638164204784441225e+01
8.500000000000000000e+01,9.166642047844410612e+00,8.500000000000000000e+01,2.658164204784441154e+01
8.600000000000000000e+01,9.466642047844409547e+00,8.600000000000000000e+01,2.668164204784441296e+01
8.700000000000000000e+01,9.366642047844409902e+00,8.700000000000000000e+01,2.688164204784441225e+01
8.800000000000000000e+01,9.466642047844409547e+00,8.800000000000000000e+01,2.688164204784441225e+01
8.900000000000000000e+01,9.366642047844409902e+00,8.900000000000000000e+01,2.698164204784441011e+01
9.000000000000000000e+01,9.566642047844409191e+00,9.000000000000000000e+01,2.718164204784441296e+01
9.100000000000000000e+01,9.566642047844409191e+00,9.100000000000000000e+01,2.748164204784441011e+01
9.200000000000000000e+01,9.766642047844410257e+00,9.200000000000000000e+01,2.748164204784441011e+01
9.300000000000000000e+01,9.866642047844409902e+00,9.300000000000000000e+01,2.748164204784441011e+01
9.400000000000000000e+01,9.966642047844409547e+00,9.400000000000000000e+01,2.758164204784441154e+01
9.500000000000000000e+01,9.966642047844409547e+00,9.500000000000000000e+01,2.748164204784441011e+01
9.600000000000000000e+01,9.966642047844409547e+00,9.600000000000000000e+01,2.768164204784441296e+01
9.700000000000000000e+01,1.016664204784441061e+01,9.700000000000000000e+01,2.788164204784441225e+01
9.800000000000000000e+01,1.026664204784441026e+01,9.800000000000000000e+01,2.798164204784441011e+01
9.900000000000000000e+01,1.016664204784441061e+01,9.900000000000000000e+01,2.808164204784441154e+01
1.000000000000000000e+02,1.036664204784440990e+01,1.000000000000000000e+02,2.838164204784441225e+01
1.010000000000000000e+02,1.026664204784441026e+01,1.010000000000000000e+02,2.828164204784441083e+01
1.020000000000000000e+02,1.056664204784440919e+01,1.020000000000000000e+02,2.848164204784441011e+01
1.030000000000000000e+02,1.046664204784440955e+01,1.030000000000000000e+02,2.858164204784441154e+01
1.040000000000000000e+02,1.066664204784441061e+01,1.040000000000000000e+02,2.858164204784441154e+01
1.050000000000000000e+02,1.076664204784441026e+01,1.050000000000000000e+02,2.868164204784441296e+01
1.060000000000000000e+02,1.096664204784440955e+01,1.060000000000000000e+02,2.898164204784441011e+01
1.070000000000000000e+02,1.106664204784440919e+01,1.070000000000000000e+02,2.908164204784441154e+01
1.080000000000000000e+02,1.096664204784440955e+01,1.080000000000000000e+02,2.918164204784441296e+01
1.090000000000000000e+02,1.096664204784440955e+01,1.090000000000000000e+02,2.928164204784441083e+01
1.100000000000000000e+02,1.116664204784441061e+01,1.100000000000000000e+02,2.938164204784441225e+01
1.110000000000000000e+02,1.126664204784441026e+01,1.110000000000000000e+02,2.948164204784441011e+01
1.120000000000000000e+02,1.116664204784441061e+01,1.120000000000000000e+02,2.938164204784441225e+01
1.130000000000000000e+02,1.126664204784441026e+01,1.130000000000000000e+02,2.948164204784441011e+01
